name,smiles,cls,series,series_index,n_carbons,molecular_weight,formula,n_tokens,n_tokens_final,multiword,canonical_smiles,formula_truth,formula_got,formula_raw,class_raw,formula_ok,class_picked,class_acceptable,class_ok
decene,C=CCCCCCCCC,alkene,alkene,10.0,10,140.27,C10H20,2,2,False,C=CCCCCCCCC,C10H20,C10H20,C10H20,B,True,alkene,alkene,True
methanol,CO,alcohol,alcohol,1.0,1,32.042,CH4O,2,2,False,CO,CH4O,CH₃OH,CH₃OH,D,True,alcohol,alcohol,True
ethanol,CCO,alcohol,alcohol,2.0,2,46.069,C2H6O,1,1,False,CCO,C2H6O,C2H5OH,C2H5OH,D,True,alcohol,alcohol,True
propanol,CCCO,alcohol,alcohol,3.0,3,60.096,C3H8O,3,3,False,CCCO,C3H8O,C₃H₇OH,C₃H₇OH,D,True,alcohol,alcohol,True
butanol,CCCCO,alcohol,alcohol,4.0,4,74.12299999999999,C4H10O,2,2,False,CCCCO,C4H10O,C4H9OH,C4H9OH,D,True,alcohol,alcohol,True
pentanol,CCCCCO,alcohol,alcohol,5.0,5,88.14999999999999,C5H12O,2,2,False,CCCCCO,C5H12O,C5H11OH,C5H11OH,D,True,alcohol,alcohol,True
hexanol,CCCCCCO,alcohol,alcohol,6.0,6,102.177,C6H14O,2,2,False,CCCCCCO,C6H14O,C6H13OH,C6H13OH,D,True,alcohol,alcohol,True
heptanol,CCCCCCCO,alcohol,alcohol,7.0,7,116.204,C7H16O,3,3,False,CCCCCCCO,C7H16O,C7H16O,C7H16O,D,True,alcohol,alcohol,True
octanol,CCCCCCCCO,alcohol,alcohol,8.0,8,130.23100000000002,C8H18O,2,2,False,CCCCCCCCO,C8H18O,C8H17OH,C8H17OH,D,True,alcohol,alcohol,True
nonanol,CCCCCCCCCO,alcohol,alcohol,9.0,9,144.258,C9H20O,2,2,False,CCCCCCCCCO,C9H20O,C9H20O,C9H20O,D,True,alcohol,alcohol,True
decanol,CCCCCCCCCCO,alcohol,alcohol,10.0,10,158.285,C10H22O,2,2,False,CCCCCCCCCCO,C10H22O,C10H22O,C10H22O,D,True,alcohol,alcohol,True
formic acid,C(=O)O,carboxylic_acid,acid,1.0,1,46.025000000000006,CH2O2,3,1,True,O=CO,CH2O2,HCOOH,HCOOH,G,True,carboxylic acid,carboxylic acid,True
acetic acid,CC(=O)O,carboxylic_acid,acid,2.0,2,60.05200000000001,C2H4O2,3,1,True,CC(=O)O,C2H4O2,CH₃COOH,CH₃COOH,G,True,carboxylic acid,carboxylic acid,True
propionic acid,CCC(=O)O,carboxylic_acid,acid,3.0,3,74.079,C3H6O2,3,1,True,CCC(=O)O,C3H6O2,C2H5COOH,C2H5COOH,G,True,carboxylic acid,carboxylic acid,True
valeric acid,CCCCC(=O)O,carboxylic_acid,acid,5.0,5,102.13299999999998,C5H10O2,3,1,True,CCCCC(=O)O,C5H10O2,C5H10O2,C5H10O2,G,True,carboxylic acid,carboxylic acid,True
caproic acid,CCCCCC(=O)O,carboxylic_acid,acid,6.0,6,116.15999999999998,C6H12O2,4,1,True,CCCCCC(=O)O,C6H12O2,C6H12O2,C6H12O2,G,True,carboxylic acid,carboxylic acid,True
enanthic acid,CCCCCCC(=O)O,carboxylic_acid,acid,7.0,7,130.187,C7H14O2,4,1,True,CCCCCCC(=O)O,C7H14O2,C7H14O2,C7H14O2,G,True,carboxylic acid,carboxylic acid,True
caprylic acid,CCCCCCCC(=O)O,carboxylic_acid,acid,8.0,8,144.214,C8H16O2,3,1,True,CCCCCCCC(=O)O,C8H16O2,C8H16O2,C8H16O2,G,True,carboxylic acid,carboxylic acid,True
pelargonic acid,CCCCCCCCC(=O)O,carboxylic_acid,acid,9.0,9,158.241,C9H18O2,4,1,True,CCCCCCCCC(=O)O,C9H18O2,C9H18O2,C9H18O2,G,True,carboxylic acid,carboxylic acid,True
undecane,CCCCCCCCCCC,alkane,,,11,156.313,C11H24,3,3,False,CCCCCCCCCCC,C11H24,C11H24,C11H24,A,True,alkane,alkane,True
eicosane,CCCCCCCCCCCCCCCCCCCC,alkane,,,20,282.5559999999999,C20H42,3,3,False,CCCCCCCCCCCCCCCCCCCC,C20H42,C20H42,C20H42,A,True,alkane,alkane,True
tert-butanol,CC(C)(C)O,alcohol,,,4,74.12299999999999,C4H10O,3,3,False,CC(C)(C)O,C4H10O,(C4H9OH),(C4H9OH),D,True,alcohol,alcohol,True
sec-butanol,CCC(C)O,alcohol,,,4,74.12299999999999,C4H10O,3,3,False,CCC(C)O,C4H10O,C4H10O,C4H10O,D,True,alcohol,alcohol,True
benzyl alcohol,OCc1ccccc1,alcohol,,,7,108.13999999999996,C7H8O,3,1,True,OCc1ccccc1,C7H8O,C6H5CH2OH,C6H5CH2OH,D,True,alcohol,"alcohol,aromatic",True
ethylene glycol,OCCO,alcohol,,,2,62.068000000000005,C2H6O2,4,2,True,OCCO,C2H6O2,C2H6O2,C2H6O2,D,True,alcohol,alcohol,True
propylene glycol,CC(O)CO,alcohol,,,3,76.095,C3H8O2,4,2,True,CC(O)CO,C3H8O2,C3H8O2,C3H8O2,D,True,alcohol,alcohol,True
glycerol,OCC(O)CO,alcohol,,,3,92.094,C3H8O3,3,3,False,OCC(O)CO,C3H8O3,C3H8O3,C3H8O3,D,True,alcohol,alcohol,True
menthol,CC(C)C1CCC(C)CC1O,alcohol,,,10,156.269,C10H20O,2,2,False,CC1CCC(C(C)C)C(O)C1,C10H20O,C10H20O,C10H20O,D,True,alcohol,alcohol,True
geraniol,CC(C)=CCCC(C)=CCO,alcohol,,,10,154.253,C10H18O,3,3,False,CC(C)=CCCC(C)=CCO,C10H18O,C10H18O,C10H18O,D,True,alcohol,"alcohol,alkene",True
allyl alcohol,C=CCO,alcohol,,,3,58.08,C3H6O,3,1,True,C=CCO,C3H6O,C3H6O,C3H6O,D,True,alcohol,"alcohol,alkene",True
propargyl alcohol,C#CCO,alcohol,,,3,56.064,C3H4O,4,1,True,C#CCO,C3H4O,C₃H₄O,C₃H₄O,C,True,alkyne,"alcohol,alkyne",True
xylitol,OCC(O)C(O)C(O)CO,alcohol,,,5,152.146,C5H12O5,3,3,False,OCC(O)C(O)C(O)CO,C5H12O5,C5H12O5,C5H12O5,D,True,alcohol,alcohol,True
sorbitol,OCC(O)C(O)C(O)C(O)CO,alcohol,,,6,182.172,C6H14O6,3,3,False,OCC(O)C(O)C(O)C(O)CO,C6H14O6,C6H14O6,C6H14O6,D,True,alcohol,alcohol,True
undecanol,CCCCCCCCCCCO,alcohol,,,11,172.31199999999998,C11H24O,3,3,False,CCCCCCCCCCCO,C11H24O,C11H24O,C11H24O,D,True,alcohol,alcohol,True
acetone,CC(C)=O,ketone,,,3,58.080000000000005,C3H6O,2,2,False,CC(C)=O,C3H6O,C3H6O,C3H6O,F,True,ketone,ketone,True
butanone,CCC(C)=O,ketone,,,4,72.10699999999999,C4H8O,3,3,False,CCC(C)=O,C4H8O,C4H8O,C4H8O,F,True,ketone,ketone,True
camphor,CC1(C)C2CCC1(C)C(=O)C2,ketone,,,10,152.237,C10H16O,3,3,False,CC12CCC(CC1=O)C2(C)C,C10H16O,C10H16O,C10H16O,F,True,ketone,ketone,True
pentanone,CCCC(C)=O,ketone,,,5,86.13399999999999,C5H10O,3,3,False,CCCC(C)=O,C5H10O,C5H10O,C5H10O,F,True,ketone,ketone,True
hexanone,CCCCC(C)=O,ketone,,,6,100.161,C6H12O,3,3,False,CCCCC(C)=O,C6H12O,C6H12O,C6H12O,F,True,ketone,ketone,True
octanone,CCCCCCC(C)=O,ketone,,,8,128.215,C8H16O,3,3,False,CCCCCCC(C)=O,C8H16O,C₈H₁₆O,C₈H₁₆O,F,True,ketone,ketone,True
decanone,CCCCCCCCC(C)=O,ketone,,,10,156.269,C10H20O,3,3,False,CCCCCCCCC(C)=O,C10H20O,C10H20O,C10H20O,F,True,ketone,ketone,True
progesterone,CC(=O)C1CCC2C3CCC4=CC(=O)CCC4(C)C3CCC12C,ketone,,,21,314.46900000000005,C21H30O2,3,3,False,CC(=O)C1CCC2C3CCC4=CC(=O)CCC4(C)C3CCC12C,C21H30O2,C21H30O2,C21H30O2,F,True,ketone,"alkene,ketone",True
formaldehyde,C=O,aldehyde,,,1,30.026,CH2O,2,2,False,C=O,CH2O,CH₂O,CH₂O,E,True,aldehyde,aldehyde,True
acetaldehyde,CC=O,aldehyde,,,2,44.053,C2H4O,3,3,False,CC=O,C2H4O,CH₃CHO,CH₃CHO,E,True,aldehyde,aldehyde,True
valeraldehyde,CCCCC=O,aldehyde,,,5,86.13399999999999,C5H10O,3,3,False,CCCCC=O,C5H10O,C5H10O,C5H10O,E,True,aldehyde,aldehyde,True
hexanal,CCCCCC=O,aldehyde,,,6,100.161,C6H12O,2,2,False,CCCCCC=O,C6H12O,C₆H₁₂O,C₆H₁₂O,E,True,aldehyde,aldehyde,True
heptanal,CCCCCCC=O,aldehyde,,,7,114.188,C7H14O,3,3,False,CCCCCCC=O,C7H14O,C₇H₁₄O,C₇H₁₄O,E,True,aldehyde,aldehyde,True
nonanal,CCCCCCCCC=O,aldehyde,,,9,142.242,C9H18O,2,2,False,CCCCCCCCC=O,C9H18O,C9H18O,C9H18O,E,True,aldehyde,aldehyde,True
decanal,CCCCCCCCCC=O,aldehyde,,,10,156.269,C10H20O,2,2,False,CCCCCCCCCC=O,C10H20O,C10H20O,C10H20O,E,True,aldehyde,aldehyde,True
benzaldehyde,O=Cc1ccccc1,aldehyde,,,7,106.12399999999997,C7H6O,3,3,False,O=Cc1ccccc1,C7H6O,C6H5CHO,C6H5CHO,E,True,aldehyde,"aldehyde,aromatic",True
vanillin,O=Cc1ccc(O)c(OC)c1,aldehyde,,,8,152.14899999999997,C8H8O3,2,2,False,COc1cc(C=O)ccc1O,C8H8O3,C8H8O3,C8H8O3,E,True,aldehyde,"alcohol,aldehyde,aromatic,ether",True
citral,CC(C)=CCCC(C)=CC=O,aldehyde,,,10,152.237,C10H16O,2,2,False,CC(C)=CCCC(C)=CC=O,C10H16O,C10H16O,C10H16O,E,True,aldehyde,"aldehyde,alkene",True
glyoxal,O=CC=O,aldehyde,,,2,58.036,C2H2O2,3,3,False,O=CC=O,C2H2O2,C2H2O2,C2H2O2,E,True,aldehyde,aldehyde,True
acrolein,C=CC=O,aldehyde,,,3,56.064,C3H4O,3,3,False,C=CC=O,C3H4O,C3H4O,C3H4O,E,True,aldehyde,"aldehyde,alkene",True
furfural,O=Cc1ccco1,aldehyde,,,5,96.08499999999998,C5H4O2,3,3,False,O=Cc1ccco1,C5H4O2,C5H4O2,C5H4O2,E,True,aldehyde,"aldehyde,aromatic",True
undecanal,CCCCCCCCCCC=O,aldehyde,,,11,170.296,C11H22O,3,3,False,CCCCCCCCCCC=O,C11H22O,C11H22O,C11H22O,E,True,aldehyde,aldehyde,True
methyl acetate,COC(C)=O,ester,,,3,74.079,C3H6O2,3,2,True,COC(C)=O,C3H6O2,CH₃COOCH₃,CH₃COOCH₃,H,True,ester,ester,True
ethyl acetate,CCOC(C)=O,ester,,,4,88.106,C4H8O2,4,2,True,CCOC(C)=O,C4H8O2,C4H8O2,C4H8O2,H,True,ester,ester,True
propyl acetate,CCCOC(C)=O,ester,,,5,102.13299999999998,C5H10O2,4,2,True,CCCOC(C)=O,C5H10O2,C5H10O2,C5H10O2,H,True,ester,ester,True
methyl formate,COC=O,ester,,,2,60.05200000000001,C2H4O2,3,2,True,COC=O,C2H4O2,CH₃OCHO,CH₃OCHO,H,True,ester,ester,True
vinyl acetate,C=COC(C)=O,ester,,,4,86.08999999999999,C4H6O2,3,2,True,C=COC(C)=O,C4H6O2,C4H6O2,C4H6O2,H,True,ester,"alkene,ester",True
allyl acetate,C=CCOC(C)=O,ester,,,5,100.117,C5H8O2,4,2,True,C=CCOC(C)=O,C5H8O2,C5H8O2,C5H8O2,H,True,ester,"alkene,ester",True
propyl formate,CCCOC=O,ester,,,4,88.10599999999998,C4H8O2,4,2,True,CCCOC=O,C4H8O2,C3H7CHO2,C3H7CHO2,H,True,ester,ester,True
methyl oleate,CCCCCCCCC=CCCCCCCCC(=O)OC,ester,,,19,296.49499999999995,C19H36O2,3,2,True,CCCCCCCCC=CCCCCCCCC(=O)OC,C19H36O2,C19H36O2,C19H36O2,H,True,ester,"alkene,ester",True
methylamine,CN,amine,,,1,31.058,CH5N,2,2,False,CN,CH5N,CH₃NH₂,CH₃NH₂,K,True,amine,amine,True
ethylamine,CCN,amine,,,2,45.085,C2H7N,3,3,False,CCN,C2H7N,C2H5NH2,C2H5NH2,K,True,amine,amine,True
propylamine,CCCN,amine,,,3,59.11199999999999,C3H9N,3,3,False,CCCN,C3H9N,C₃H₉N,C₃H₉N,K,True,amine,amine,True
butylamine,CCCCN,amine,,,4,73.139,C4H11N,3,3,False,CCCCN,C4H11N,C4H11N,C4H11N,K,True,amine,amine,True
hexylamine,CCCCCCN,amine,,,6,101.193,C6H15N,3,3,False,CCCCCCN,C6H15N,C6H15N,C6H15N,K,True,amine,amine,True
dimethylamine,CNC,amine,,,2,45.085,C2H7N,3,3,False,CNC,C2H7N,(CH₃)₂NH,(CH₃)₂NH,K,True,amine,amine,True
trimethylamine,CN(C)C,amine,,,3,59.112,C3H9N,3,3,False,CN(C)C,C3H9N,(CH₃)₃N,(CH₃)₃N,K,True,amine,amine,True
aniline,Nc1ccccc1,amine,,,6,93.129,C6H7N,2,2,False,Nc1ccccc1,C6H7N,C6H5NH2,C6H5NH2,K,True,amine,"amine,aromatic",True
benzylamine,NCc1ccccc1,amine,,,7,107.15599999999996,C7H9N,3,3,False,NCc1ccccc1,C7H9N,C6H5CH2NH2,C6H5CH2NH2,K,True,amine,"amine,aromatic",True
piperidine,C1CCNCC1,amine,,,5,85.15,C5H11N,3,3,False,C1CCNCC1,C5H11N,C5H11N,C5H11N,K,True,amine,amine,True
morpholine,C1COCCN1,amine,,,4,87.122,C4H9NO,2,2,False,C1COCCN1,C4H9NO,C4H9NO,C4H9NO,K,True,amine,"amine,ether",True
cadaverine,NCCCCCN,amine,,,5,102.181,C5H14N2,3,3,False,NCCCCCN,C5H14N2,C5H14N2,C5H14N2,K,True,amine,amine,True
dopamine,NCCc1ccc(O)c(O)c1,amine,,,8,153.18099999999998,C8H11NO2,1,1,False,NCCc1ccc(O)c(O)c1,C8H11NO2,C8H11N1O2,C8H11N1O2,K,True,amine,"alcohol,amine,aromatic",True
serotonin,NCCc1c[nH]c2ccc(O)cc12,amine,,,10,176.21899999999997,C10H12N2O,1,1,False,NCCc1c[nH]c2ccc(O)cc12,C10H12N2O,C10H12N2O,C10H12N2O,K,True,amine,"alcohol,amine,aromatic",True
ethanolamine,NCCO,amine,,,2,61.084,C2H7NO,2,2,False,NCCO,C2H7NO,C2H7NO,C2H7NO,K,True,amine,"alcohol,amine",True
melamine,Nc1nc(N)nc(N)n1,amine,,,3,126.12300000000002,C3H6N6,2,2,False,Nc1nc(N)nc(N)n1,C3H6N6,C3H6N6,C3H6N6,K,True,amine,"amine,aromatic",True
adenine,Nc1ncnc2[nH]cnc12,amine,,,5,135.13,C5H5N5,2,2,False,Nc1ncnc2[nH]cnc12,C5H5N5,C5H5N5,C5H5N5,K,True,amine,"amine,aromatic",True
guanine,Nc1nc2[nH]cnc2c(=O)[nH]1,amine,,,5,151.129,C5H5N5O,2,2,False,Nc1nc2[nH]cnc2c(=O)[nH]1,C5H5N5O,C5H5N5O,C5H5N5O,K,True,amine,"amine,aromatic",True
cytosine,Nc1cc[nH]c(=O)n1,amine,,,4,111.104,C4H5N3O,3,3,False,Nc1cc[nH]c(=O)n1,C4H5N3O,C4H5N3O,C4H5N3O,K,True,amine,"amine,aromatic",True
creatine,CN(CC(O)=O)C(N)=N,amine,,,4,131.135,C4H9N3O2,2,2,False,CN(CC(=O)O)C(=N)N,C4H9N3O2,C4H9N3O2,C4H9N3O2,K,True,amine,"amine,carboxylic acid",True
taurine,NCCS(O)(=O)=O,amine,,,2,125.14899999999996,C2H7NO3S,3,3,False,NCCS(=O)(=O)O,C2H7NO3S,C2H7NO3S,C2H7NO3S,K,True,amine,amine,True
piperazine,C1CNCCN1,amine,,,4,86.138,C4H10N2,3,3,False,C1CNCCN1,C4H10N2,C4H10N2,C4H10N2,K,True,amine,amine,True
azepane,C1CCCNCC1,amine,,,6,99.177,C6H13N,3,3,False,C1CCCNCC1,C6H13N,C6H13N,C6H13N,K,True,amine,amine,True
aziridine,C1CN1,amine,,,2,43.069,C2H5N,3,3,False,C1CN1,C2H5N,C2H5N,C2H5N,K,True,amine,amine,True
acetamide,CC(N)=O,amine,,,2,59.068,C2H5NO,2,2,False,CC(N)=O,C2H5NO,CH₃CONH₂,CH₃CONH₂,J,True,amide,amide,True
barbituric acid,O=C1CC(=O)NC(=O)N1,amine,,,4,128.087,C4H4N2O3,5,1,True,O=C1CC(=O)NC(=O)N1,C4H4N2O3,C4H4N2O3,C4H4N2O3,J,True,amide,amide,True
uric acid,O=C1NC2=C(N1)C(=O)NC(=O)N2,amine,,,5,168.112,C5H4N4O3,3,1,True,O=c1[nH]c(=O)c2[nH]c(=O)[nH]c2[nH]1,C5H4N4O3,C5H4N4O3,C5H4N4O3,L,True,aromatic,aromatic,True
benzene,c1ccccc1,aromatic,,,6,78.11399999999999,C6H6,2,2,False,c1ccccc1,C6H6,C6H6,C6H6,L,True,aromatic,aromatic,True
toluene,Cc1ccccc1,aromatic,,,7,92.141,C7H8,3,3,False,Cc1ccccc1,C7H8,C₇H₈,C₇H₈,L,True,aromatic,aromatic,True
xylene,Cc1ccccc1C,aromatic,,,8,106.168,C8H10,2,2,False,Cc1ccccc1C,C8H10,C₆H₄(CH₃)₂,C₆H₄(CH₃)₂,L,True,aromatic,aromatic,True
styrene,C=Cc1ccccc1,aromatic,,,8,104.15199999999996,C8H8,2,2,False,C=Cc1ccccc1,C8H8,C₆H₅CH=CH₂,C₆H₅CH=CH₂,B,True,alkene,"alkene,aromatic",True
anthracene,c1ccc2cc3ccccc3cc2c1,aromatic,,,14,178.23399999999995,C14H10,3,3,False,c1ccc2cc3ccccc3cc2c1,C14H10,C14H10,C14H10,L,True,aromatic,aromatic,True
phenanthrene,c1ccc2c(c1)ccc1ccccc12,aromatic,,,14,178.23399999999998,C14H10,3,3,False,c1ccc2c(c1)ccc1ccccc12,C14H10,C14H10,C14H10,L,True,aromatic,aromatic,True
phenol,Oc1ccccc1,aromatic,,,6,94.113,C6H6O,2,2,False,Oc1ccccc1,C6H6O,C6H5OH,C6H5OH,L,True,aromatic,"alcohol,aromatic",True
catechol,Oc1ccccc1O,aromatic,,,6,110.11199999999998,C6H6O2,3,3,False,Oc1ccccc1O,C6H6O2,C6H4(OH)2,C6H4(OH)2,L,True,aromatic,"alcohol,aromatic",True
hydroquinone,Oc1ccc(O)cc1,aromatic,,,6,110.11199999999998,C6H6O2,3,3,False,Oc1ccc(O)cc1,C6H6O2,C6H4(OH)2,C6H4(OH)2,L,True,aromatic,"alcohol,aromatic",True
benzoic acid,OC(=O)c1ccccc1,aromatic,,,7,122.12299999999996,C7H6O2,4,1,True,O=C(O)c1ccccc1,C7H6O2,C7H6O2,C7H6O2,G,True,carboxylic acid,"aromatic,carboxylic acid",True
salicylic acid,OC(=O)c1ccccc1O,aromatic,,,7,138.122,C7H6O3,4,1,True,O=C(O)c1ccccc1O,C7H6O3,C7H6O3,C7H6O3,G,True,carboxylic acid,"alcohol,aromatic,carboxylic acid",True
aspirin,CC(=O)Oc1ccccc1C(O)=O,aromatic,,,9,180.159,C9H8O4,2,2,False,CC(=O)Oc1ccccc1C(=O)O,C9H8O4,C9H8O4,C9H8O4,G,True,carboxylic acid,"aromatic,carboxylic acid,ester",True
mesitylene,Cc1cc(C)cc(C)c1,aromatic,,,9,120.19499999999998,C9H12,3,3,False,Cc1cc(C)cc(C)c1,C9H12,C₉H₁₂,C₉H₁₂,L,True,aromatic,aromatic,True
cumene,CC(C)c1ccccc1,aromatic,,,9,120.19499999999996,C9H12,2,2,False,CC(C)c1ccccc1,C9H12,C₆H₅CH(CH₃)₂,C₆H₅CH(CH₃)₂,L,True,aromatic,aromatic,True
biphenyl,c1ccc(-c2ccccc2)cc1,aromatic,,,12,154.21199999999996,C12H10,3,3,False,c1ccc(-c2ccccc2)cc1,C12H10,C12H10,C12H10,L,True,aromatic,aromatic,True
indole,c1ccc2[nH]ccc2c1,aromatic,,,8,117.15099999999995,C8H7N,2,2,False,c1ccc2[nH]ccc2c1,C8H7N,C8H7N,C8H7N,L,True,aromatic,aromatic,True
quinoline,c1ccc2ncccc2c1,aromatic,,,9,129.16199999999998,C9H7N,3,3,False,c1ccc2ncccc2c1,C9H7N,C₉H₇N,C₉H₇N,L,True,aromatic,"amine,aromatic",True
pyridine,c1ccncc1,aromatic,,,5,79.10199999999998,C5H5N,3,3,False,c1ccncc1,C5H5N,C5H5N,C5H5N,K,True,amine,"amine,aromatic",True
furan,c1ccoc1,aromatic,,,4,68.07499999999999,C4H4O,2,2,False,c1ccoc1,C4H4O,C4H4O,C4H4O,L,True,aromatic,aromatic,True
thiophene,c1ccsc1,aromatic,,,4,84.14299999999999,C4H4S,3,3,False,c1ccsc1,C4H4S,C₄H₄S,C₄H₄S,L,True,aromatic,aromatic,True
pyrrole,c1cc[nH]c1,aromatic,,,4,67.091,C4H5N,3,3,False,c1cc[nH]c1,C4H5N,C4H5N,C4H5N,L,True,aromatic,aromatic,True
imidazole,c1c[nH]cn1,aromatic,,,3,68.079,C3H4N2,3,3,False,c1c[nH]cn1,C3H4N2,C3H4N2,C3H4N2,K,True,amine,"amine,aromatic",True
pyrimidine,c1cncnc1,aromatic,,,4,80.08999999999999,C4H4N2,3,3,False,c1cncnc1,C4H4N2,C4H4N2,C4H4N2,L,True,aromatic,"amine,aromatic",True
pyrazine,c1cnccn1,aromatic,,,4,80.09,C4H4N2,3,3,False,c1cnccn1,C4H4N2,C4H4N2,C4H4N2,L,True,aromatic,"amine,aromatic",True
purine,c1ncc2[nH]cnc2n1,aromatic,,,5,120.115,C5H4N4,2,2,False,c1ncc2[nH]cnc2n1,C5H4N4,C5H4N4,C5H4N4,L,True,aromatic,"amine,aromatic",True
thymol,Cc1ccc(C(C)C)cc1O,aromatic,,,10,150.221,C10H14O,3,3,False,Cc1ccc(C(C)C)cc1O,C10H14O,C10H14O,C10H14O,L,True,aromatic,"alcohol,aromatic",True
eugenol,C=CCc1ccc(O)c(OC)c1,aromatic,,,10,164.20399999999995,C10H12O2,3,3,False,C=CCc1ccc(O)c(OC)c1,C10H12O2,C10H12O2,C10H12O2,L,True,aromatic,"alcohol,alkene,aromatic,ether",True
niacin,OC(=O)c1cccnc1,aromatic,,,6,123.11099999999998,C6H5NO2,2,2,False,O=C(O)c1cccnc1,C6H5NO2,C6H5NO2,C6H5NO2,K,True,amine,"amine,aromatic,carboxylic acid",True
tyrosine,NC(Cc1ccc(O)cc1)C(O)=O,aromatic,,,9,181.191,C9H11NO3,3,3,False,NC(Cc1ccc(O)cc1)C(=O)O,C9H11NO3,C9H11NO3,C9H11NO3,L,True,aromatic,"alcohol,amine,aromatic,carboxylic acid",True
histidine,NC(Cc1c[nH]cn1)C(O)=O,aromatic,,,6,155.15699999999998,C6H9N3O2,2,2,False,NC(Cc1c[nH]cn1)C(=O)O,C6H9N3O2,C6H9N3O2,C6H9N3O2,K,True,amine,"amine,aromatic,carboxylic acid",True
anisole,COc1ccccc1,aromatic,,,7,108.13999999999996,C7H8O,3,3,False,COc1ccccc1,C7H8O,C₇H₈O,C₇H₈O,I,True,ether,"aromatic,ether",True
phenetole,CCOc1ccccc1,aromatic,,,8,122.16699999999996,C8H10O,3,3,False,CCOc1ccccc1,C8H10O,C6H5OC2H5,C6H5OC2H5,I,True,ether,"aromatic,ether",True
stilbene,c1ccc(/C=C/c2ccccc2)cc1,aromatic,,,14,180.25,C14H12,3,3,False,C(=C\c1ccccc1)/c1ccccc1,C14H12,C14H12,C14H12,L,True,aromatic,"alkene,aromatic",True
fluorene,c1ccc2c(c1)Cc1ccccc1-2,aromatic,,,13,166.22299999999998,C13H10,3,3,False,c1ccc2c(c1)Cc1ccccc1-2,C13H10,C13H10,C13H10,L,True,aromatic,aromatic,True
pyrene,c1cc2ccc3cccc4ccc(c1)c2c34,aromatic,,,16,202.256,C16H10,2,2,False,c1cc2ccc3cccc4ccc(c1)c2c34,C16H10,C16H10,C16H10,L,True,aromatic,aromatic,True
carbazole,c1ccc2c(c1)[nH]c1ccccc12,aromatic,,,12,167.21099999999998,C12H9N,2,2,False,c1ccc2c(c1)[nH]c1ccccc12,C12H9N,C12H9N,C12H9N,L,True,aromatic,aromatic,True
