name,smiles,cls,series,series_index,n_carbons,molecular_weight,formula,n_tokens,n_tokens_final,multiword,canonical_smiles,formula_truth,formula_got,formula_raw,class_raw,formula_ok,class_picked,class_acceptable,class_ok,passed
propene,C=CC,alkene,alkene,3.0,3,42.081,C3H6,2,2,False,C=CC,C3H6,C₃H₆,C₃H₆,B,True,alkene,alkene,True,True
butene,C=CCC,alkene,alkene,4.0,4,56.10799999999999,C4H8,2,2,False,C=CCC,C4H8,C4H8,C4H8,B,True,alkene,alkene,True,True
pentene,C=CCCC,alkene,alkene,5.0,5,70.13499999999999,C5H10,2,2,False,C=CCCC,C5H10,C5H10,C5H10,B,True,alkene,alkene,True,True
hexene,C=CCCCC,alkene,alkene,6.0,6,84.16199999999999,C6H12,2,2,False,C=CCCCC,C6H12,C6H12,C6H12,B,True,alkene,alkene,True,True
heptene,C=CCCCCC,alkene,alkene,7.0,7,98.189,C7H14,3,3,False,C=CCCCCC,C7H14,C7H14,C7H14,B,True,alkene,alkene,True,True
octene,C=CCCCCCC,alkene,alkene,8.0,8,112.216,C8H16,2,2,False,C=CCCCCCC,C8H16,C8H16,C8H16,B,True,alkene,alkene,True,True
nonene,C=CCCCCCCC,alkene,alkene,9.0,9,126.243,C9H18,2,2,False,C=CCCCCCCC,C9H18,C9H18,C9H18,B,True,alkene,alkene,True,True
decene,C=CCCCCCCCC,alkene,alkene,10.0,10,140.27,C10H20,2,2,False,C=CCCCCCCCC,C10H20,C10H20,C10H20,B,True,alkene,alkene,True,True
methanol,CO,alcohol,alcohol,1.0,1,32.042,CH4O,2,2,False,CO,CH4O,CH₃OH,CH₃OH,D,True,alcohol,alcohol,True,True
ethanol,CCO,alcohol,alcohol,2.0,2,46.069,C2H6O,1,1,False,CCO,C2H6O,C2H5OH,C2H5OH,D,True,alcohol,alcohol,True,True
propanol,CCCO,alcohol,alcohol,3.0,3,60.096,C3H8O,3,3,False,CCCO,C3H8O,C₃H₇OH,C₃H₇OH,D,True,alcohol,alcohol,True,True
butanol,CCCCO,alcohol,alcohol,4.0,4,74.12299999999999,C4H10O,2,2,False,CCCCO,C4H10O,C4H9OH,C4H9OH,D,True,alcohol,alcohol,True,True
pentanol,CCCCCO,alcohol,alcohol,5.0,5,88.14999999999999,C5H12O,2,2,False,CCCCCO,C5H12O,C5H11OH,C5H11OH,D,True,alcohol,alcohol,True,True
hexanol,CCCCCCO,alcohol,alcohol,6.0,6,102.177,C6H14O,2,2,False,CCCCCCO,C6H14O,C6H13OH,C6H13OH,D,True,alcohol,alcohol,True,True
heptanol,CCCCCCCO,alcohol,alcohol,7.0,7,116.204,C7H16O,3,3,False,CCCCCCCO,C7H16O,C7H16O,C7H16O,D,True,alcohol,alcohol,True,True
octanol,CCCCCCCCO,alcohol,alcohol,8.0,8,130.23100000000002,C8H18O,2,2,False,CCCCCCCCO,C8H18O,C8H17OH,C8H17OH,D,True,alcohol,alcohol,True,True
nonanol,CCCCCCCCCO,alcohol,alcohol,9.0,9,144.258,C9H20O,2,2,False,CCCCCCCCCO,C9H20O,C9H20O,C9H20O,D,True,alcohol,alcohol,True,True
decanol,CCCCCCCCCCO,alcohol,alcohol,10.0,10,158.285,C10H22O,2,2,False,CCCCCCCCCCO,C10H22O,C10H22O,C10H22O,D,True,alcohol,alcohol,True,True
formic acid,C(=O)O,carboxylic_acid,acid,1.0,1,46.025000000000006,CH2O2,3,1,True,O=CO,CH2O2,HCOOH,HCOOH,G,True,carboxylic acid,carboxylic acid,True,True
acetic acid,CC(=O)O,carboxylic_acid,acid,2.0,2,60.05200000000001,C2H4O2,3,1,True,CC(=O)O,C2H4O2,CH₃COOH,CH₃COOH,G,True,carboxylic acid,carboxylic acid,True,True
propionic acid,CCC(=O)O,carboxylic_acid,acid,3.0,3,74.079,C3H6O2,3,1,True,CCC(=O)O,C3H6O2,C2H5COOH,C2H5COOH,G,True,carboxylic acid,carboxylic acid,True,True
butyric acid,CCCC(=O)O,carboxylic_acid,acid,4.0,4,88.10599999999998,C4H8O2,4,1,True,CCCC(=O)O,C4H8O2,C2H4O2,C2H4O2,G,False,carboxylic acid,carboxylic acid,True,False
valeric acid,CCCCC(=O)O,carboxylic_acid,acid,5.0,5,102.13299999999998,C5H10O2,3,1,True,CCCCC(=O)O,C5H10O2,C5H10O2,C5H10O2,G,True,carboxylic acid,carboxylic acid,True,True
caproic acid,CCCCCC(=O)O,carboxylic_acid,acid,6.0,6,116.15999999999998,C6H12O2,4,1,True,CCCCCC(=O)O,C6H12O2,C6H12O2,C6H12O2,G,True,carboxylic acid,carboxylic acid,True,True
enanthic acid,CCCCCCC(=O)O,carboxylic_acid,acid,7.0,7,130.187,C7H14O2,4,1,True,CCCCCCC(=O)O,C7H14O2,C7H14O2,C7H14O2,G,True,carboxylic acid,carboxylic acid,True,True
caprylic acid,CCCCCCCC(=O)O,carboxylic_acid,acid,8.0,8,144.214,C8H16O2,3,1,True,CCCCCCCC(=O)O,C8H16O2,C8H16O2,C8H16O2,G,True,carboxylic acid,carboxylic acid,True,True
pelargonic acid,CCCCCCCCC(=O)O,carboxylic_acid,acid,9.0,9,158.241,C9H18O2,4,1,True,CCCCCCCCC(=O)O,C9H18O2,C9H18O2,C9H18O2,G,True,carboxylic acid,carboxylic acid,True,True
capric acid,CCCCCCCCCC(=O)O,carboxylic_acid,acid,10.0,10,172.268,C10H20O2,3,1,True,CCCCCCCCCC(=O)O,C10H20O2,C10H19COOH,C10H19COOH,G,False,carboxylic acid,carboxylic acid,True,False
undecane,CCCCCCCCCCC,alkane,,,11,156.313,C11H24,3,3,False,CCCCCCCCCCC,C11H24,C11H24,C11H24,A,True,alkane,alkane,True,True
eicosane,CCCCCCCCCCCCCCCCCCCC,alkane,,,20,282.5559999999999,C20H42,3,3,False,CCCCCCCCCCCCCCCCCCCC,C20H42,C20H42,C20H42,A,True,alkane,alkane,True,True
adamantane,C1C2CC3CC1CC(C2)C3,alkane,,,10,136.23799999999997,C10H16,2,2,False,C1C2CC3CC1CC(C2)C3,C10H16,C6H14,C6H14,A,False,alkane,alkane,True,False
norbornane,C1CC2CCC1C2,alkane,,,7,96.173,C7H12,3,3,False,C1CC2CCC1C2,C7H12,C5H10,C5H10,A,False,alkane,alkane,True,False
decalin,C1CCC2CCCCC2C1,alkane,,,10,138.254,C10H18,2,2,False,C1CCC2CCCCC2C1,C10H18,C10H18,C10H18,J.,True,amide,alkane,False,False
tert-butanol,CC(C)(C)O,alcohol,,,4,74.12299999999999,C4H10O,3,3,False,CC(C)(C)O,C4H10O,(C4H9OH),(C4H9OH),D,True,alcohol,alcohol,True,True
sec-butanol,CCC(C)O,alcohol,,,4,74.12299999999999,C4H10O,3,3,False,CCC(C)O,C4H10O,C4H10O,C4H10O,D,True,alcohol,alcohol,True,True
benzyl alcohol,OCc1ccccc1,alcohol,,,7,108.13999999999996,C7H8O,3,1,True,OCc1ccccc1,C7H8O,C6H5CH2OH,C6H5CH2OH,D,True,alcohol,"alcohol,aromatic",True,True
ethylene glycol,OCCO,alcohol,,,2,62.068000000000005,C2H6O2,4,2,True,OCCO,C2H6O2,C2H6O2,C2H6O2,D,True,alcohol,alcohol,True,True
propylene glycol,CC(O)CO,alcohol,,,3,76.095,C3H8O2,4,2,True,CC(O)CO,C3H8O2,C3H8O2,C3H8O2,D,True,alcohol,alcohol,True,True
glycerol,OCC(O)CO,alcohol,,,3,92.094,C3H8O3,3,3,False,OCC(O)CO,C3H8O3,C3H8O3,C3H8O3,D,True,alcohol,alcohol,True,True
menthol,CC(C)C1CCC(C)CC1O,alcohol,,,10,156.269,C10H20O,2,2,False,CC1CCC(C(C)C)C(O)C1,C10H20O,C10H20O,C10H20O,D,True,alcohol,alcohol,True,True
geraniol,CC(C)=CCCC(C)=CCO,alcohol,,,10,154.253,C10H18O,3,3,False,CC(C)=CCCC(C)=CCO,C10H18O,C10H18O,C10H18O,D,True,alcohol,"alcohol,alkene",True,True
allyl alcohol,C=CCO,alcohol,,,3,58.08,C3H6O,3,1,True,C=CCO,C3H6O,C3H6O,C3H6O,D,True,alcohol,"alcohol,alkene",True,True
propargyl alcohol,C#CCO,alcohol,,,3,56.064,C3H4O,4,1,True,C#CCO,C3H4O,C₃H₄O,C₃H₄O,C,True,alkyne,"alcohol,alkyne",True,True
xylitol,OCC(O)C(O)C(O)CO,alcohol,,,5,152.146,C5H12O5,3,3,False,OCC(O)C(O)C(O)CO,C5H12O5,C5H12O5,C5H12O5,D,True,alcohol,alcohol,True,True
sorbitol,OCC(O)C(O)C(O)C(O)CO,alcohol,,,6,182.172,C6H14O6,3,3,False,OCC(O)C(O)C(O)C(O)CO,C6H14O6,C6H14O6,C6H14O6,D,True,alcohol,alcohol,True,True
cholesterol,CC(C)CCCC(C)C1CCC2C1(CCC3C2CC=C4C3(CCC(C4)O)C)C,alcohol,,,27,386.66400000000016,C27H46O,1,1,False,CC(C)CCCC(C)C1CCC2C3CC=C4CC(O)CCC4(C)C3CCC12C,C27H46O,C27H46O,C27H46O,L,True,aromatic,"alcohol,alkene",False,False
undecanol,CCCCCCCCCCCO,alcohol,,,11,172.31199999999998,C11H24O,3,3,False,CCCCCCCCCCCO,C11H24O,C11H24O,C11H24O,D,True,alcohol,alcohol,True,True
inositol,OC1C(O)C(O)C(O)C(O)C1O,alcohol,,,6,180.156,C6H12O6,3,3,False,OC1C(O)C(O)C(O)C(O)C1O,C6H12O6,C6H12O6,C6H12O6,I,True,ether,alcohol,False,False
acetone,CC(C)=O,ketone,,,3,58.080000000000005,C3H6O,2,2,False,CC(C)=O,C3H6O,C3H6O,C3H6O,F,True,ketone,ketone,True,True
butanone,CCC(C)=O,ketone,,,4,72.10699999999999,C4H8O,3,3,False,CCC(C)=O,C4H8O,C4H8O,C4H8O,F,True,ketone,ketone,True,True
camphor,CC1(C)C2CCC1(C)C(=O)C2,ketone,,,10,152.237,C10H16O,3,3,False,CC12CCC(CC1=O)C2(C)C,C10H16O,C10H16O,C10H16O,F,True,ketone,ketone,True,True
diacetyl,CC(=O)C(C)=O,ketone,,,4,86.08999999999999,C4H6O2,3,3,False,CC(=O)C(C)=O,C4H6O2,C4H6O2,C4H6O2,E,True,aldehyde,ketone,False,False
mesityl oxide,CC(C)=CC(C)=O,ketone,,,6,98.145,C6H10O,4,1,True,CC(=O)C=C(C)C,C6H10O,C6H8O,C6H8O,F,False,ketone,"alkene,ketone",True,False
carvone,CC(=C)C1CC=C(C)C(=O)C1,ketone,,,10,150.22099999999998,C10H14O,3,3,False,C=C(C)C1CC=C(C)C(=O)C1,C10H14O,C10H14O,C10H14O,H,True,ester,"alkene,ketone",False,False
menthone,CC(C)C1CCC(C)CC1=O,ketone,,,10,154.253,C10H18O,2,2,False,CC1CCC(C(C)C)C(=O)C1,C10H18O,C6H8O,C6H8O,F,False,ketone,ketone,True,False
pentanone,CCCC(C)=O,ketone,,,5,86.13399999999999,C5H10O,3,3,False,CCCC(C)=O,C5H10O,C5H10O,C5H10O,F,True,ketone,ketone,True,True
hexanone,CCCCC(C)=O,ketone,,,6,100.161,C6H12O,3,3,False,CCCCC(C)=O,C6H12O,C6H12O,C6H12O,F,True,ketone,ketone,True,True
octanone,CCCCCCC(C)=O,ketone,,,8,128.215,C8H16O,3,3,False,CCCCCCC(C)=O,C8H16O,C₈H₁₆O,C₈H₁₆O,F,True,ketone,ketone,True,True
nonanone,CCCCCCCC(C)=O,ketone,,,9,142.242,C9H18O,3,3,False,CCCCCCCC(C)=O,C9H18O,C9H16O,C9H16O,F,False,ketone,ketone,True,False
decanone,CCCCCCCCC(C)=O,ketone,,,10,156.269,C10H20O,3,3,False,CCCCCCCCC(C)=O,C10H20O,C10H20O,C10H20O,F,True,ketone,ketone,True,True
quinone,O=C1C=CC(=O)C=C1,ketone,,,6,108.096,C6H4O2,3,3,False,O=C1C=CC(=O)C=C1,C6H4O2,C6H4O2,C6H4O2,L,True,aromatic,"alkene,ketone",False,False
acetoin,CC(O)C(C)=O,ketone,,,4,88.106,C4H8O2,2,2,False,CC(=O)C(C)O,C4H8O2,C₃H₆O₂,C₃H₆O₂,F,False,ketone,"alcohol,ketone",True,False
ionone,CC(=O)/C=C/C1=C(C)CCCC1(C)C,ketone,,,13,192.302,C13H20O,2,2,False,CC(=O)/C=C/C1=C(C)CCCC1(C)C,C13H20O,C₁₀H₁₆O,C₁₀H₁₆O,F,False,ketone,"alkene,ketone",True,False
progesterone,CC(=O)C1CCC2C3CCC4=CC(=O)CCC4(C)C3CCC12C,ketone,,,21,314.46900000000005,C21H30O2,3,3,False,CC(=O)C1CCC2C3CCC4=CC(=O)CCC4(C)C3CCC12C,C21H30O2,C21H30O2,C21H30O2,F,True,ketone,"alkene,ketone",True,True
methyl vinyl ketone,C=CC(C)=O,ketone,,,4,70.091,C4H6O,4,2,True,C=CC(C)=O,C4H6O,C3H4O,C3H4O,F,False,ketone,"alkene,ketone",True,False
dibenzyl ketone,O=C(Cc1ccccc1)Cc1ccccc1,ketone,,,15,210.276,C15H14O,5,2,True,O=C(Cc1ccccc1)Cc1ccccc1,C15H14O,C10H10O,C10H10O,F,False,ketone,"aromatic,ketone",True,False
tropinone,CN1C2CCC1CC(=O)C2,ketone,,,8,139.19799999999998,C8H13NO,3,3,False,CN1C2CCC1CC(=O)C2,C8H13NO,C9H11NO,C9H11NO,F,False,ketone,"amine,ketone",True,False
pulegone,CC1CCC(=C(C)C)C(=O)C1,ketone,,,10,152.23699999999997,C10H16O,3,3,False,CC(C)=C1CCC(C)CC1=O,C10H16O,C10H16,C10H16,B,False,alkene,"alkene,ketone",True,False
formaldehyde,C=O,aldehyde,,,1,30.026,CH2O,2,2,False,C=O,CH2O,CH₂O,CH₂O,E,True,aldehyde,aldehyde,True,True
acetaldehyde,CC=O,aldehyde,,,2,44.053,C2H4O,3,3,False,CC=O,C2H4O,CH₃CHO,CH₃CHO,E,True,aldehyde,aldehyde,True,True
propionaldehyde,CCC=O,aldehyde,,,3,58.08,C3H6O,3,3,False,CCC=O,C3H6O,C₃H₇CHO,C₃H₇CHO,E,False,aldehyde,aldehyde,True,False
valeraldehyde,CCCCC=O,aldehyde,,,5,86.13399999999999,C5H10O,3,3,False,CCCCC=O,C5H10O,C5H10O,C5H10O,E,True,aldehyde,aldehyde,True,True
hexanal,CCCCCC=O,aldehyde,,,6,100.161,C6H12O,2,2,False,CCCCCC=O,C6H12O,C₆H₁₂O,C₆H₁₂O,E,True,aldehyde,aldehyde,True,True
heptanal,CCCCCCC=O,aldehyde,,,7,114.188,C7H14O,3,3,False,CCCCCCC=O,C7H14O,C₇H₁₄O,C₇H₁₄O,E,True,aldehyde,aldehyde,True,True
octanal,CCCCCCCC=O,aldehyde,,,8,128.215,C8H16O,2,2,False,CCCCCCCC=O,C8H16O,C₇H₁₄O,C₇H₁₄O,E,False,aldehyde,aldehyde,True,False
nonanal,CCCCCCCCC=O,aldehyde,,,9,142.242,C9H18O,2,2,False,CCCCCCCCC=O,C9H18O,C9H18O,C9H18O,E,True,aldehyde,aldehyde,True,True
decanal,CCCCCCCCCC=O,aldehyde,,,10,156.269,C10H20O,2,2,False,CCCCCCCCCC=O,C10H20O,C10H20O,C10H20O,E,True,aldehyde,aldehyde,True,True
benzaldehyde,O=Cc1ccccc1,aldehyde,,,7,106.12399999999997,C7H6O,3,3,False,O=Cc1ccccc1,C7H6O,C6H5CHO,C6H5CHO,E,True,aldehyde,"aldehyde,aromatic",True,True
vanillin,O=Cc1ccc(O)c(OC)c1,aldehyde,,,8,152.14899999999997,C8H8O3,2,2,False,COc1cc(C=O)ccc1O,C8H8O3,C8H8O3,C8H8O3,E,True,aldehyde,"alcohol,aldehyde,aromatic,ether",True,True
citral,CC(C)=CCCC(C)=CC=O,aldehyde,,,10,152.237,C10H16O,2,2,False,CC(C)=CCCC(C)=CC=O,C10H16O,C10H16O,C10H16O,E,True,aldehyde,"aldehyde,alkene",True,True
glyoxal,O=CC=O,aldehyde,,,2,58.036,C2H2O2,3,3,False,O=CC=O,C2H2O2,C2H2O2,C2H2O2,E,True,aldehyde,aldehyde,True,True
acrolein,C=CC=O,aldehyde,,,3,56.064,C3H4O,3,3,False,C=CC=O,C3H4O,C3H4O,C3H4O,E,True,aldehyde,"aldehyde,alkene",True,True
furfural,O=Cc1ccco1,aldehyde,,,5,96.08499999999998,C5H4O2,3,3,False,O=Cc1ccco1,C5H4O2,C5H4O2,C5H4O2,E,True,aldehyde,"aldehyde,aromatic",True,True
undecanal,CCCCCCCCCCC=O,aldehyde,,,11,170.296,C11H22O,3,3,False,CCCCCCCCCCC=O,C11H22O,C11H22O,C11H22O,E,True,aldehyde,aldehyde,True,True
tolualdehyde,Cc1ccc(C=O)cc1,aldehyde,,,8,120.15099999999998,C8H8O,3,3,False,Cc1ccc(C=O)cc1,C8H8O,C7H8O,C7H8O,E,False,aldehyde,"aldehyde,aromatic",True,False
piperonal,O=Cc1ccc2OCOc2c1,aldehyde,,,8,150.13299999999998,C8H6O3,3,3,False,O=Cc1ccc2c(c1)OCO2,C8H6O3,C9H8O3,C9H8O3,L,False,aromatic,"aldehyde,aromatic,ether",True,False
methyl acetate,COC(C)=O,ester,,,3,74.079,C3H6O2,3,2,True,COC(C)=O,C3H6O2,CH₃COOCH₃,CH₃COOCH₃,H,True,ester,ester,True,True
ethyl acetate,CCOC(C)=O,ester,,,4,88.106,C4H8O2,4,2,True,CCOC(C)=O,C4H8O2,C4H8O2,C4H8O2,H,True,ester,ester,True,True
propyl acetate,CCCOC(C)=O,ester,,,5,102.13299999999998,C5H10O2,4,2,True,CCCOC(C)=O,C5H10O2,C5H10O2,C5H10O2,H,True,ester,ester,True,True
butyl acetate,CCCCOC(C)=O,ester,,,6,116.15999999999998,C6H12O2,4,2,True,CCCCOC(C)=O,C6H12O2,C4H8O2,C4H8O2,H,False,ester,ester,True,False
pentyl acetate,CCCCCOC(C)=O,ester,,,7,130.18699999999998,C7H14O2,4,2,True,CCCCCOC(C)=O,C7H14O2,C5H10O2,C5H10O2,H,False,ester,ester,True,False
isoamyl acetate,CC(C)CCOC(C)=O,ester,,,7,130.18699999999998,C7H14O2,5,2,True,CC(=O)OCCC(C)C,C7H14O2,C5H12O2,C5H12O2,H,False,ester,ester,True,False
methyl formate,COC=O,ester,,,2,60.05200000000001,C2H4O2,3,2,True,COC=O,C2H4O2,CH₃OCHO,CH₃OCHO,H,True,ester,ester,True,True
ethyl formate,CCOC=O,ester,,,3,74.07900000000001,C3H6O2,4,2,True,CCOC=O,C3H6O2,C2H4O2,C2H4O2,H,False,ester,ester,True,False
benzyl acetate,CC(=O)OCc1ccccc1,ester,,,9,150.177,C9H10O2,4,2,True,CC(=O)OCc1ccccc1,C9H10O2,C7H8O2,C7H8O2,H,False,ester,"aromatic,ester",True,False
vinyl acetate,C=COC(C)=O,ester,,,4,86.08999999999999,C4H6O2,3,2,True,C=COC(C)=O,C4H6O2,C4H6O2,C4H6O2,H,True,ester,"alkene,ester",True,True
ethyl propionate,CCC(=O)OCC,ester,,,5,102.133,C5H10O2,4,2,True,CCOC(=O)CC,C5H10O2,C4H8O2,C4H8O2,H,False,ester,ester,True,False
triacetin,CC(=O)OCC(COC(C)=O)OC(C)=O,ester,,,9,218.205,C9H14O6,3,3,False,CC(=O)OCC(COC(C)=O)OC(C)=O,C9H14O6,C9H16O6,C9H16O6,H,False,ester,ester,True,False
methyl propionate,CCC(=O)OC,ester,,,4,88.106,C4H8O2,3,2,True,CCC(=O)OC,C4H8O2,C3H6O2,C3H6O2,H,False,ester,ester,True,False
methyl valerate,CCCCC(=O)OC,ester,,,6,116.15999999999998,C6H12O2,3,2,True,CCCCC(=O)OC,C6H12O2,C5H10O2,C5H10O2,H,False,ester,ester,True,False
ethyl valerate,CCCCC(=O)OCC,ester,,,7,130.18699999999998,C7H14O2,4,2,True,CCCCC(=O)OCC,C7H14O2,C5H10O2OOC2H5,C5H10O2OOC2H5,H,False,ester,ester,True,False
allyl acetate,C=CCOC(C)=O,ester,,,5,100.117,C5H8O2,4,2,True,C=CCOC(C)=O,C5H8O2,C5H8O2,C5H8O2,H,True,ester,"alkene,ester",True,True
butyl formate,CCCCOC=O,ester,,,5,102.13299999999998,C5H10O2,4,2,True,CCCCOC=O,C5H10O2,C4H8O2,C4H8O2,H,False,ester,ester,True,False
propyl formate,CCCOC=O,ester,,,4,88.10599999999998,C4H8O2,4,2,True,CCCOC=O,C4H8O2,C3H7CHO2,C3H7CHO2,H,True,ester,ester,True,True
ethyl lactate,CC(O)C(=O)OCC,ester,,,5,118.132,C5H10O3,4,2,True,CCOC(=O)C(C)O,C5H10O3,C4H8O3,C4H8O3,H,False,ester,"alcohol,ester",True,False
methyl lactate,CC(O)C(=O)OC,ester,,,4,104.105,C4H8O3,3,2,True,COC(=O)C(C)O,C4H8O3,C3H6O3,C3H6O3,H,False,ester,"alcohol,ester",True,False
methyl oleate,CCCCCCCCC=CCCCCCCCC(=O)OC,ester,,,19,296.49499999999995,C19H36O2,3,2,True,CCCCCCCCC=CCCCCCCCC(=O)OC,C19H36O2,C19H36O2,C19H36O2,H,True,ester,"alkene,ester",True,True
ethyl oleate,CCCCCCCCC=CCCCCCCCC(=O)OCC,ester,,,20,310.522,C20H38O2,4,2,True,CCCCCCCCC=CCCCCCCCC(=O)OCC,C20H38O2,C19H36O2,C19H36O2,H,False,ester,"alkene,ester",True,False
methylamine,CN,amine,,,1,31.058,CH5N,2,2,False,CN,CH5N,CH₃NH₂,CH₃NH₂,K,True,amine,amine,True,True
ethylamine,CCN,amine,,,2,45.085,C2H7N,3,3,False,CCN,C2H7N,C2H5NH2,C2H5NH2,K,True,amine,amine,True,True
propylamine,CCCN,amine,,,3,59.11199999999999,C3H9N,3,3,False,CCCN,C3H9N,C₃H₉N,C₃H₉N,K,True,amine,amine,True,True
butylamine,CCCCN,amine,,,4,73.139,C4H11N,3,3,False,CCCCN,C4H11N,C4H11N,C4H11N,K,True,amine,amine,True,True
pentylamine,CCCCCN,amine,,,5,87.16600000000001,C5H13N,3,3,False,CCCCCN,C5H13N,C5H11N,C5H11N,K,False,amine,amine,True,False
hexylamine,CCCCCCN,amine,,,6,101.193,C6H15N,3,3,False,CCCCCCN,C6H15N,C6H15N,C6H15N,K,True,amine,amine,True,True
dimethylamine,CNC,amine,,,2,45.085,C2H7N,3,3,False,CNC,C2H7N,(CH₃)₂NH,(CH₃)₂NH,K,True,amine,amine,True,True
trimethylamine,CN(C)C,amine,,,3,59.112,C3H9N,3,3,False,CN(C)C,C3H9N,(CH₃)₃N,(CH₃)₃N,K,True,amine,amine,True,True
diethylamine,CCNCC,amine,,,4,73.139,C4H11N,3,3,False,CCNCC,C4H11N,C2H7N,C2H7N,K,False,amine,amine,True,False
triethylamine,CCN(CC)CC,amine,,,6,101.193,C6H15N,3,3,False,CCN(CC)CC,C6H15N,C2H5,C2H5)3N,K,False,amine,amine,True,False
aniline,Nc1ccccc1,amine,,,6,93.129,C6H7N,2,2,False,Nc1ccccc1,C6H7N,C6H5NH2,C6H5NH2,K,True,amine,"amine,aromatic",True,True
benzylamine,NCc1ccccc1,amine,,,7,107.15599999999996,C7H9N,3,3,False,NCc1ccccc1,C7H9N,C6H5CH2NH2,C6H5CH2NH2,K,True,amine,"amine,aromatic",True,True
piperidine,C1CCNCC1,amine,,,5,85.15,C5H11N,3,3,False,C1CCNCC1,C5H11N,C5H11N,C5H11N,K,True,amine,amine,True,True
morpholine,C1COCCN1,amine,,,4,87.122,C4H9NO,2,2,False,C1COCCN1,C4H9NO,C4H9NO,C4H9NO,K,True,amine,"amine,ether",True,True
cadaverine,NCCCCCN,amine,,,5,102.181,C5H14N2,3,3,False,NCCCCCN,C5H14N2,C5H14N2,C5H14N2,K,True,amine,amine,True,True
histamine,NCCc1c[nH]cn1,amine,,,5,111.14799999999998,C5H9N3,2,2,False,NCCc1c[nH]cn1,C5H9N3,C5H7N3,C5H7N3,K,False,amine,"amine,aromatic",True,False
dopamine,NCCc1ccc(O)c(O)c1,amine,,,8,153.18099999999998,C8H11NO2,1,1,False,NCCc1ccc(O)c(O)c1,C8H11NO2,C8H11N1O2,C8H11N1O2,K,True,amine,"alcohol,amine,aromatic",True,True
serotonin,NCCc1c[nH]c2ccc(O)cc12,amine,,,10,176.21899999999997,C10H12N2O,1,1,False,NCCc1c[nH]c2ccc(O)cc12,C10H12N2O,C10H12N2O,C10H12N2O,K,True,amine,"alcohol,amine,aromatic",True,True
ethanolamine,NCCO,amine,,,2,61.084,C2H7NO,2,2,False,NCCO,C2H7NO,C2H7NO,C2H7NO,K,True,amine,"alcohol,amine",True,True
toluidine,Cc1ccc(N)cc1,amine,,,7,107.156,C7H9N,3,3,False,Cc1ccc(N)cc1,C7H9N,C6H9N,C6H9N,K,False,amine,"amine,aromatic",True,False
melamine,Nc1nc(N)nc(N)n1,amine,,,3,126.12300000000002,C3H6N6,2,2,False,Nc1nc(N)nc(N)n1,C3H6N6,C3H6N6,C3H6N6,K,True,amine,"amine,aromatic",True,True
adenine,Nc1ncnc2[nH]cnc12,amine,,,5,135.13,C5H5N5,2,2,False,Nc1ncnc2[nH]cnc12,C5H5N5,C5H5N5,C5H5N5,K,True,amine,"amine,aromatic",True,True
guanine,Nc1nc2[nH]cnc2c(=O)[nH]1,amine,,,5,151.129,C5H5N5O,2,2,False,Nc1nc2[nH]cnc2c(=O)[nH]1,C5H5N5O,C5H5N5O,C5H5N5O,K,True,amine,"amine,aromatic",True,True
cytosine,Nc1cc[nH]c(=O)n1,amine,,,4,111.104,C4H5N3O,3,3,False,Nc1cc[nH]c(=O)n1,C4H5N3O,C4H5N3O,C4H5N3O,K,True,amine,"amine,aromatic",True,True
